species,number, eusocial, flight_speed, stdev-angle, niche,niche_preferences, nest_habitat,max_distance,perception_range,perception_angle,body_mass,turtle_size,turtle_color
1,10,0,0,90,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 ],[0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625],5,0,4,180,2.27,4,5
2,10,1,0,90,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 ],[0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625],5,0,4,180,1.48,4,35
3,10,2,0,90,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 ],[0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625],5,0,4,180,1.29,4,65
4,10,3,0,90,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 ],[0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625],5,0,4,180,1.55,4,95
