species,number, eusocial, flight_speed, stdev-angle, niche,niche_preferences, nest_habitat,max_distance,perception_range,perception_angle,body_mass,turtle_size,turtle_color
1,20,1,1,90,[1 2 3 4 5 6 7 8 ],[0.125 .125 .125 .125 .125 .125 .125 .125 ],3,1,2,180,2.46,4,115
2,20,2,1,90,[1 2 3 4 5 6 7 8 ],[0.125 .125 .125 .125 .125 .125 .125 .125 ],2,1,2,180,3.3,4,15
3,20,3,1,90,[1 2 3 4 5 6 7 8 ],[0.125 .125 .125 .125 .125 .125 .125 .125 ],2,1,2,180,1.8,8,0
4,20,2,1,90,[1 2 3 4 5 6 7 8 ],[0.125 .125 .125 .125 .125 .125 .125 .125 ],2,1,2,180,4.41,4,105
5,20,0,1,90,[1 2 3 4 5 6 7 8 ],[0.125 .125 .125 .125 .125 .125 .125 .125 ],3,1,2,180,3.04,8,135
6,20,1,1,90,[1 2 3 4 5 6 7 8 ],[0.125 .125 .125 .125 .125 .125 .125 .125 ],3,1,2,180,7.68,8,75
